,Unnamed: 0,PP,PF,PA,D,PCT,GW,GL,TGW,TGL,ELO,PC,EXP,SS,EG,CGC,TBPP,TBPF,TBPA,TBD,TBPCT,CLT
0,Vermicelli,5841.0,3173.5,2667.5,506.0,0.5429999999999999,159,78,33,25,1619.34,0.09,0.33,0.24,21-11,2.04,119.0,64.0,55.0,9.0,0.538,-0.005
1,Mascarpone,4153.5,2188.5,1965.0,223.5,0.527,101,55,23,12,1602.82,0.05,0.29,0.23,21-12,1.58,65.5,37.5,28.0,9.5,0.573,0.046
2,Mandarins,2164.5,1169.5,995.0,174.5,0.54,49,28,10,10,1575.46,0.08,0.21,0.13,21-14,2.33,50.5,26.0,24.5,1.5,0.515,-0.025
3,Jasmine,4423.0,2316.5,2106.5,210.0,0.524,108,68,29,21,1564.68,0.05,0.18,0.14,21-14,2.53,112.0,60.0,52.0,8.0,0.536,0.012
4,Asparagus,4166.0,2118.0,2048.0,70.0,0.508,79,76,20,24,1554.3,0.02,0.16,0.14,21-15,3.78,157.5,74.5,83.0,-8.5,0.473,-0.035
5,Raspberry,8539.5,4426.0,4113.5,312.5,0.518,193,162,35,40,1549.36,0.04,0.14,0.1,21-16,1.84,157.0,77.0,80.0,-3.0,0.49,-0.028
6,Vanilla,343.0,174.0,169.0,5.0,0.507,8,8,0,3,1535.09,0.01,0.1,0.09,21-17,2.48,8.5,0.5,8.0,-7.5,0.059,-0.448
7,Pear,6651.75,3626.0,3025.75,600.25,0.545,165,90,32,26,1535.0,0.09,0.1,0.01,21-17,1.96,130.5,63.5,67.0,-3.5,0.487,-0.058
8,Jicama,3536.0,1842.5,1693.5,149.0,0.521,78,57,17,18,1529.04,0.04,0.08,0.04,21-18,2.71,96.0,43.0,53.0,-10.0,0.448,-0.073
9,Dandelion,2389.0,1097.5,1291.5,-194.0,0.45899999999999996,38,59,13,14,1517.99,-0.08,0.05,0.13,21-19,1.63,39.0,22.0,17.0,5.0,0.564,0.105
10,Allspice,2049.0,1054.0,995.0,59.0,0.514,52,48,4,7,1514.58,0.03,0.04,0.01,21-19,1.22,25.0,13.0,12.0,1.0,0.52,0.006
11,Vinegar,1801.0,781.0,1020.0,-239.0,0.434,17,53,6,11,1512.27,-0.13,0.04,0.17,20-20,0.28,5.0,4.0,1.0,3.0,0.8,0.366
12,Marjoram,285.5,147.0,138.5,8.5,0.515,10,5,0,0,1511.89,0.03,0.03,0.0,20-20,0.0,0.0,0.0,0.0,0.0,-,-
13,Pavlova,3636.75,1761.0,1875.75,-114.75,0.484,57,80,20,24,1505.59,-0.03,0.02,0.05,20-20,2.12,77.0,35.5,41.5,-6.0,0.461,-0.023
14,Dashi,459.0,237.5,221.5,16.0,0.517,8,14,2,3,1502.6,0.03,0.01,-0.03,20-20,2.51,11.5,5.5,6.0,-0.5,0.478,-0.039
15,Juice,36.5,18.0,18.5,-0.5,0.493,1,1,0,0,1499.22,-0.01,-0.0,0.01,20-20,0.0,0.0,0.0,0.0,0.0,-,-
16,Raisin,112.0,55.5,56.5,-1.0,0.496,2,3,0,1,1498.57,-0.01,-0.0,0.0,20-20,0.0,0.0,0.0,0.0,0.0,-,-
17,DeviledEgg,34.0,13.0,21.0,-8.0,0.382,0,1,0,0,1496.38,-0.24,-0.01,0.22,20-20,0.0,0.0,0.0,0.0,0.0,-,-
18,Almond,54.5,24.5,30.0,-5.5,0.45,1,2,1,1,1496.19,-0.1,-0.01,0.09,20-20,0.0,0.0,0.0,0.0,0.0,-,-
19,Jelly,35.5,14.5,21.0,-6.5,0.408,0,2,0,0,1493.11,-0.18,-0.02,0.16,20-20,0.0,0.0,0.0,0.0,0.0,-,-
20,Paprika,1297.0,579.0,718.0,-139.0,0.446,17,42,5,8,1489.55,-0.11,-0.03,0.08,20-20,3.2,41.5,22.0,19.5,2.5,0.53,0.084
21,Margarine,76.0,23.0,53.0,-30.0,0.303,0,3,0,0,1472.12,-0.39,-0.08,0.31,18-21,0.0,0.0,0.0,0.0,0.0,-,-
22,Strawberry,954.5,474.0,480.5,-6.5,0.49700000000000005,23,25,6,9,1464.42,-0.01,-0.1,-0.1,17-21,2.1,20.0,9.5,10.5,-1.0,0.475,-0.022
23,Yeast,2861.5,1348.0,1513.5,-165.5,0.47100000000000003,54,87,12,14,1448.84,-0.06,-0.15,-0.09,16-21,1.01,29.0,15.0,14.0,1.0,0.517,0.046
24,Tahini,3665.5,1581.5,2084.0,-502.5,0.431,53,120,21,14,1434.95,-0.14,-0.19,-0.05,14-21,1.35,49.5,26.0,23.5,2.5,0.525,0.094
25,Mango,1021.0,397.5,623.5,-226.0,0.389,12,41,4,4,1424.91,-0.22,-0.21,0.01,14-21,2.4,24.5,10.5,14.0,-3.5,0.429,0.04
26,Nectarine,466.0,160.0,306.0,-146.0,0.34299999999999997,4,18,2,0,1399.6,-0.31,-0.28,0.03,12-21,0.0,0.0,0.0,0.0,0.0,-,-
27,Daikon,1039.5,400.5,639.0,-238.5,0.385,8,38,2,5,1385.74,-0.23,-0.32,-0.09,11-21,1.59,16.5,10.0,6.5,3.5,0.606,0.221
28,Shallot,792.0,240.5,551.5,-311.0,0.304,1,34,0,2,1366.42,-0.39,-0.37,0.03,10-21,0.63,5.0,1.0,4.0,-3.0,0.2,-0.104
